City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Katsina,NG,12.9894,7.6006,87.17,18,26,8.3,scattered clouds
79,Sao Filipe,CV,14.8961,-24.4956,72.59,75,0,8.72,clear sky
80,Labuhan,ID,-6.8844,112.2051,80.51,83,99,7.56,overcast clouds
81,Puerto Ayora,EC,-0.7393,-90.3518,74.48,82,56,6.44,broken clouds
82,Dillon,US,34.4166,-79.3712,80.85,60,99,11.32,overcast clouds
83,Portland,US,45.5234,-122.6762,68.67,52,75,7.0,broken clouds
84,Dalbandin,PK,28.8947,64.4101,76.57,21,26,5.12,scattered clouds
85,Sur,OM,22.5667,59.5289,81.99,61,0,4.94,clear sky
86,Dutse,NG,11.7594,9.3392,86.0,37,82,10.13,broken clouds
87,Fortuna,US,40.5982,-124.1573,62.92,72,0,14.97,clear sky
88,Vedasandur,IN,10.5333,77.95,80.02,67,100,3.22,overcast clouds
89,Ostersund,SE,63.1792,14.6357,41.61,60,20,8.05,few clouds
90,Torbay,CA,47.6666,-52.7314,43.75,89,75,6.91,broken clouds
91,Santa Cruz,BO,-17.8,-63.1667,80.65,69,40,8.05,scattered clouds
92,Greenwood,US,34.1668,-82.1165,78.96,57,0,9.22,clear sky
93,Esna,EG,25.2934,32.554,78.82,16,20,6.35,few clouds
94,Coihaique,CL,-45.5752,-72.0662,47.01,81,40,5.75,scattered clouds
95,Shimanovsk,RU,52.0,127.7,48.79,32,99,7.58,overcast clouds
96,Bambous Virieux,MU,-20.3428,57.7575,73.22,94,20,1.14,few clouds
97,Norman Wells,CA,65.282,-126.8329,51.84,40,40,21.85,scattered clouds
98,Montrose,US,38.4166,-108.2673,62.01,13,96,21.72,overcast clouds
99,Abu Zabad,SD,12.35,29.25,85.66,21,100,7.2,overcast clouds
100,Waki,JP,34.0667,134.15,59.02,36,100,4.76,overcast clouds
101,Kamenka,RU,51.3223,42.7678,37.99,58,11,4.65,few clouds
102,Virginia Beach,US,36.8529,-75.978,77.02,64,0,10.36,clear sky
103,Albany,US,42.6001,-73.9662,63.88,37,100,3.42,overcast clouds
104,Esperance,AU,-33.8667,121.9,51.64,63,2,7.36,clear sky
105,Huarmey,PE,-10.0681,-78.1522,66.83,85,76,8.05,broken clouds
106,Nizhniy Kuranakh,RU,58.8353,125.4869,33.06,80,100,14.05,light snow
107,Fukue,JP,32.6881,128.8419,62.96,55,0,4.61,clear sky
108,Georgetown,MY,5.4112,100.3354,78.75,88,20,3.44,thunderstorm
109,Zhuzhou,CN,27.8333,113.15,53.73,78,98,1.59,overcast clouds
110,Broken Hill,AU,-31.95,141.4333,58.71,67,0,4.61,clear sky
111,Qasigiannguit,GL,68.8193,-51.1922,25.05,84,5,3.18,clear sky
112,Boende,CD,-0.2167,20.8667,70.63,94,91,2.55,overcast clouds
113,Kozhva,RU,65.1073,57.0459,24.53,91,65,5.91,light snow
114,Vila,PT,42.0304,-8.1588,45.48,85,24,1.72,few clouds
115,Hofn,IS,64.2539,-15.2082,34.81,59,100,13.35,overcast clouds
116,Port Elizabeth,ZA,-33.918,25.5701,56.32,92,0,2.3,clear sky
117,Sibolga,ID,1.7427,98.7792,75.94,88,100,3.69,overcast clouds
118,Provideniya,RU,64.3833,-173.3,29.37,59,14,12.64,few clouds
119,Saskylakh,RU,71.9167,114.0833,14.5,91,50,5.84,scattered clouds
120,Weyburn,CA,49.6668,-103.8511,57.42,26,87,13.8,overcast clouds
121,Marataizes,BR,-21.0433,-40.8244,74.77,81,6,8.9,clear sky
122,Cayenne,GF,4.9333,-52.3333,81.09,1,75,4.61,broken clouds
123,Mpika,ZM,-11.8343,31.4529,54.73,82,9,8.03,clear sky
124,Abu Samrah,SY,35.3029,37.1841,58.51,81,0,9.55,clear sky
125,Victoria,HK,22.2855,114.1577,63.25,94,100,7.0,light rain
126,Fayaoue,NC,-20.65,166.5333,78.17,85,62,11.86,broken clouds
127,Acarau,BR,-2.8856,-40.12,79.23,83,45,12.44,scattered clouds
128,Kenora,CA,49.8167,-94.4337,38.37,93,100,11.5,light intensity drizzle
129,Verkhnyaya Inta,RU,65.9811,60.3094,22.73,83,87,6.58,overcast clouds
130,Skjervoy,NO,70.0311,20.9714,33.8,85,97,7.78,light snow
131,Davidson,US,36.1501,-86.7833,79.25,30,20,10.36,few clouds
132,Ambikapur,IN,23.1167,83.2,74.37,50,13,6.78,few clouds
133,Evensk,RU,61.95,159.2333,30.06,76,30,2.33,scattered clouds
134,Pitimbu,BR,-7.4706,-34.8086,77.59,84,18,8.16,few clouds
135,Caxito,AO,-8.5785,13.6643,72.28,97,65,1.68,broken clouds
136,Perth,AU,-31.9333,115.8333,55.67,96,0,0.0,clear sky
137,Havre-Saint-Pierre,CA,50.2334,-63.5986,37.76,81,100,10.36,overcast clouds
138,Saldanha,ZA,-33.0117,17.9442,59.05,75,5,7.56,clear sky
139,Vestmannaeyjar,IS,63.4427,-20.2734,44.92,59,100,1.7,overcast clouds
140,Khatanga,RU,71.9667,102.5,16.23,87,82,10.54,broken clouds
141,Lompoc,US,34.6391,-120.4579,72.57,67,0,28.99,clear sky
142,Port-Cartier,CA,50.0334,-66.8654,53.71,89,48,6.6,scattered clouds
143,Opuwo,NA,-18.0607,13.84,71.58,39,42,5.17,scattered clouds
144,Kudahuvadhoo,MV,2.6708,72.8944,85.44,74,94,21.97,overcast clouds
145,Oistins,BB,13.0667,-59.5333,78.89,83,20,11.5,few clouds
146,Bhadrachalam,IN,17.6667,80.8833,81.75,81,29,7.96,scattered clouds
147,Vaini,TO,-21.2,-175.2,82.56,83,75,13.8,broken clouds
148,Bowmore,US,34.9421,-79.3031,80.51,88,75,10.36,broken clouds
149,Mayor Pablo Lagerenza,PY,-19.9309,-60.7718,77.56,52,10,7.07,clear sky
150,Nanortalik,GL,60.1432,-45.2371,37.45,84,100,4.41,overcast clouds
151,Byron Bay,AU,-28.65,153.6167,71.49,57,33,11.97,scattered clouds
152,Yar-Sale,RU,66.8333,70.8333,6.46,89,14,6.13,few clouds
153,Panama City,PA,8.9936,-79.5197,84.15,82,40,6.91,scattered clouds
154,Carnarvon,AU,-24.8667,113.6333,60.87,72,0,9.22,clear sky
155,East London,ZA,-33.0153,27.9116,61.02,79,0,7.49,clear sky
