City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Ponta Delgada,PT,2022-04-21 20:53:13,37.7333,-25.6667,57.92,62,20,9.22
68,Cape Town,ZA,2022-04-21 20:50:02,-33.9258,18.4232,62.11,80,0,8.05
69,East London,ZA,2022-04-21 20:53:13,-33.0153,27.9116,74.34,52,75,4.85
70,Santa Rosa,PH,2022-04-21 20:53:14,14.3122,121.1114,82.38,79,8,6.87
71,Sayyan,YE,2022-04-21 20:53:14,15.1718,44.3244,60.8,23,7,3.06
72,Rocha,UY,2022-04-21 20:53:14,-34.4833,-54.3333,63.1,52,15,7.87
73,Mingguang,CN,2022-04-21 20:53:15,32.7802,117.9638,62.2,85,57,5.12
74,Lasa,IT,2022-04-21 20:53:15,46.6166,10.7002,49.08,98,91,3.22
75,Hermanus,ZA,2022-04-21 20:53:15,-34.4187,19.2345,58.8,86,36,2.1
76,Praia Da Vitoria,PT,2022-04-21 20:53:15,38.7333,-27.0667,57.76,77,75,22.08
77,Hofn,IS,2022-04-21 20:53:16,64.2539,-15.2082,46.35,85,5,7.7
78,Chokurdakh,RU,2022-04-21 20:53:16,70.6333,147.9167,-2.38,100,100,0.58
79,Barrow,US,2022-04-21 20:53:16,71.2906,-156.7887,8.26,88,86,14.74
80,Phan Thiet,VN,2022-04-21 20:53:17,10.9333,108.1,77.36,87,100,6.31
81,Camocim,BR,2022-04-21 20:52:09,-2.9022,-40.8411,78.4,88,100,10.25
82,Maniitsoq,GL,2022-04-21 20:53:17,65.4167,-52.9,32.25,98,100,34.85
83,Khandbari,NP,2022-04-21 20:53:17,27.3747,87.2039,68.38,83,92,1.05
84,Tura,IN,2022-04-21 20:50:32,25.5198,90.2201,68.43,89,2,3.62
85,Geraldton,AU,2022-04-21 20:53:18,-28.7667,114.6,64.81,52,4,6.91
86,Vanimo,PG,2022-04-21 20:53:18,-2.6741,141.3028,77.02,85,100,3.04
87,Buala,SB,2022-04-21 20:53:18,-8.145,159.5921,82.2,78,100,4.05
88,Chunhuhub,MX,2022-04-21 20:53:19,19.55,-88.6833,92.5,34,69,7.58
89,Rabat,MA,2022-04-21 20:53:19,33.9911,-6.8401,59.16,70,0,3.44
90,Bazaliya,UA,2022-04-21 20:53:19,49.7127,26.4733,41.38,96,100,10.2
91,Marsa Matruh,EG,2022-04-21 20:53:20,31.3525,27.2453,60.42,65,95,9.78
92,Grand Gaube,MU,2022-04-21 20:54:20,-20.0064,57.6608,78.39,80,100,5.01
93,Vao,NC,2022-04-21 20:54:20,-22.6667,167.4833,74.39,59,100,3.0
94,Los Llanos De Aridane,ES,2022-04-21 20:54:21,28.6585,-17.9182,60.55,89,75,5.75
95,Wielun,PL,2022-04-21 20:54:21,51.221,18.5696,44.19,94,100,2.26
96,Puerto Ayora,EC,2022-04-21 20:54:21,-0.7393,-90.3518,78.76,82,45,9.19
